account_code,account_name,level,parent_code,statement_type,category,postable
5105010107.001,ค่าเสื่อมราคา - สิ่งปลูกสร้าง,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010108.001,ค่าเสื่อมราคา - สิ่งปลูกสร้างภายใต้สัญญาเช่า,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010109.001,ค่าเสื่อมราคา - ครุภัณฑ์สำนักงาน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010111.001,ค่าเสื่อมราคา - ยานพาหนะและขนส่ง,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010113.001,ค่าเสื่อมราคา - ครุภัณฑ์ไฟฟ้าและวิทยุ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010115.001,ค่าเสื่อมราคา - ครุภัณฑ์โฆษณาและเผยแพร่,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010117.001,ค่าเสื่อมราคา - ครุภัณฑ์การเกษตร,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010119.001,ค่าเสื่อมราคา - ครุภัณฑ์โรงงาน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010121.001,ค่าเสื่อมราคา - ครุภัณฑ์ก่อสร้าง,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010123.001,ค่าเสื่อมราคา - ครุภัณฑ์สำรวจ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010125.001,ค่าเสื่อมราคา - ครุภัณฑ์วิทยาศาสตร์และ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010127.001,ค่าเสื่อมราคา - ครุภัณฑ์คอมพิวเตอร์,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010129.001,ค่าเสื่อมราคา - ครุภัณฑ์การศึกษา,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010131.001,ค่าเสื่อมราคา - ครุภัณฑ์งานบ้านงานครัว,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010133.001,ค่าเสื่อมราคา - ครุภัณฑ์กีฬา,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010135.001,ค่าเสื่อมราคา - ครุภัณฑ์ดนตรี,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010137.001,ค่าเสื่อมราคา - ครุภัณฑ์สนาม,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010139.001,ค่าเสื่อมราคา - ครุภัณฑ์อื่น,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010140.001,ค่าเสื่อมราคา - ครุภัณฑ์ภายใต้สัญญาเช่า,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010143.001,ค่าเสื่อมราคา - ถนน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010144.001,ค่าเสื่อมราคา - สะพาน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010145.001,ค่าเสื่อมราคา - เขื่อน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010146.001,ค่าเสื่อมราคา - อ่างเก็บน้ำ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010147.001,ค่าเสื่อมราคา - สินทรัพย์โครงสร้างพื้นฐานอื่น,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010148.001,ค่าตัดจำหน่าย - โปรแกรมคอมพิวเตอร์,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010149.001,ค่าตัดจำหน่าย - สินทรัพย์,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010152.001,ค่าเสื่อมราคา - อสังหาริมทรัพย์เพื่อการลงทุน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010158.001,ค่าเสื่อมราคา - ส่วนปรับปรุงอาคาร,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010169.001,ค่าตัดจำหน่าย - โปรแกรมคอมพิวเตอร์ภายใต้,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010170.001,ค่าตัดจำหน่าย- สินทรัพย์ไม่มีตัวตนอื่นภายใต้,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010194.001,ค่าเสื่อมราคา - อาคารและ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010195.001,ค่าเสื่อมราคา - ครุภัณฑ์ไม่ระบุรายละเอียด,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010197.001,ค่าเสื่อมราคา - สินทรัพย์โครงสร้างพื้นฐาน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010198.001,ค่าตัดจำหน่าย - สินทรัพย์ไม่มีตัวตน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107000000.000,ค่าใช้จ่ายเงินอุดหนุน,3,5100000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5107010000.000,ค่าใช้จ่ายเงินอุดหนุน - เพื่อการดำเนนิ งาน,4,5107000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5107010101.001,ค่าใช้จ่ายอุดหนุน - หน่วยงานภาครัฐ,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010103.001,ค่าใช้จ่ายอุดหนุน - องค์กรปกครองส่วนท้องถิ่น,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010104.001,ค่าใช้จ่ายอุดหนุนเพื่อการดำเนินงาน -,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010105.001,ค่าใช้จ่ายอุดหนุนเพื่อการดำเนินงาน -,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010106.001,เงินอุดหนุนเพื่อการดำเนินงาน - องค์กรไม่หวัง,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010109.001,ค่าใช้จ่ายอุดหนุนเพื่อการดำเนินงาน -,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010110.001,ค่าใช้จ่ายอุดหนุนเพื่อการดำเนินงาน -,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010111.001,ค่าใช้จ่ายอุดหนุนเพื่อการดำเนินงาน -,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5107010112.001,ค่าใช้จ่ายอุดหนุนเพื่อชดเชยจากทุนหมุนเวียน,6,5107010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
